info: listening on 127.0.0.1:8080
info(Server): 127.0.0.1:34582 deinit in write
info(Server): 127.0.0.1:34540 deinit in write
info(Server): 127.0.0.1:34554 deinit in write
info(Server): 127.0.0.1:34516 deinit in write
info(Server): 127.0.0.1:34590 deinit in write
info(Server): 127.0.0.1:34592 deinit in write
info(Server): 127.0.0.1:34598 deinit in write
info(Server): 127.0.0.1:34614 deinit in write
info(Server): 127.0.0.1:34634 deinit in write
info(Server): 127.0.0.1:34662 deinit in write
info(Server): 127.0.0.1:34672 deinit in write
info(Server): 127.0.0.1:34678 deinit in write
info(Server): 127.0.0.1:34688 deinit in write
info(Server): 127.0.0.1:34648 deinit in write
info(Server): 127.0.0.1:34618 deinit in write
info(Server): 127.0.0.1:34704 deinit in write
info(Server): 127.0.0.1:34698 deinit in write
info(Server): 127.0.0.1:34700 deinit in write
info(Server): 127.0.0.1:34720 deinit in write
info(Server): 127.0.0.1:34730 deinit in write
info(Server): 127.0.0.1:34716 deinit in write
info(Server): 127.0.0.1:34638 deinit in write
info(Server): 127.0.0.1:34706 deinit in write
info(Server): 127.0.0.1:34760 deinit in write
info(Server): 127.0.0.1:34754 deinit in write
info(Server): 127.0.0.1:34758 deinit in write
info(Server): 127.0.0.1:34796 deinit in write
info(Server): 127.0.0.1:34810 deinit in write
info(Server): 127.0.0.1:34782 deinit in write
info(Server): 127.0.0.1:34744 deinit in write
info(Server): 127.0.0.1:34832 deinit in write
info(Server): 127.0.0.1:34838 deinit in write
info(Server): 127.0.0.1:34816 deinit in write
info(Server): 127.0.0.1:34840 deinit in write
info(Server): 127.0.0.1:34776 deinit in write
info(Server): 127.0.0.1:34830 deinit in write
info(Server): 127.0.0.1:34876 deinit in write
info(Server): 127.0.0.1:34890 deinit in write
info(Server): 127.0.0.1:34894 deinit in write
info(Server): 127.0.0.1:34908 deinit in write
info(Server): 127.0.0.1:34920 deinit in write
info(Server): 127.0.0.1:34924 deinit in write
info(Server): 127.0.0.1:34928 deinit in write
info(Server): 127.0.0.1:34942 deinit in write
info(Server): 127.0.0.1:34956 deinit in write
info(Server): 127.0.0.1:34958 deinit in write
info(Server): 127.0.0.1:34974 deinit in write
info(Server): 127.0.0.1:34990 deinit in write
info(Server): 127.0.0.1:34852 deinit in write
info(Server): 127.0.0.1:34856 deinit in write
info(Server): 127.0.0.1:34862 deinit in write
info(Server): 127.0.0.1:34992 deinit in write
info(Server): 127.0.0.1:35002 deinit in write
info(Server): 127.0.0.1:35006 deinit in write
info(Server): 127.0.0.1:35022 deinit in write
info(Server): 127.0.0.1:35032 deinit in write
info(Server): 127.0.0.1:35034 deinit in write
info(Server): 127.0.0.1:35036 deinit in write
info(Server): 127.0.0.1:35044 deinit in write
info(Server): 127.0.0.1:35014 deinit in write
info(Server): 127.0.0.1:35008 deinit in write
info(Server): 127.0.0.1:35010 deinit in write
info(Server): 127.0.0.1:35072 deinit in write
info(Server): 127.0.0.1:35090 deinit in write
info(Server): 127.0.0.1:35094 deinit in write
info(Server): 127.0.0.1:35106 deinit in write
info(Server): 127.0.0.1:35112 deinit in write
info(Server): 127.0.0.1:35120 deinit in write
info(Server): 127.0.0.1:35134 deinit in write
info(Server): 127.0.0.1:35146 deinit in write
info(Server): 127.0.0.1:35152 deinit in write
info(Server): 127.0.0.1:35158 deinit in write
info(Server): 127.0.0.1:35162 deinit in write
info(Server): 127.0.0.1:35166 deinit in write
info(Server): 127.0.0.1:35180 deinit in write
info(Server): 127.0.0.1:35190 deinit in write
info(Server): 127.0.0.1:35204 deinit in write
info(Server): 127.0.0.1:35220 deinit in write
info(Server): 127.0.0.1:35224 deinit in write
info(Server): 127.0.0.1:35238 deinit in write
info(Server): 127.0.0.1:35240 deinit in write
info(Server): 127.0.0.1:35250 deinit in write
info(Server): 127.0.0.1:35266 deinit in write
info(Server): 127.0.0.1:35280 deinit in write
info(Server): 127.0.0.1:35282 deinit in write
info(Server): 127.0.0.1:35296 deinit in write
info(Server): 127.0.0.1:35310 deinit in write
info(Server): 127.0.0.1:35320 deinit in write
info(Server): 127.0.0.1:35322 deinit in write
